Title,Authors,Abstract,PDF URL,Publication date,TF-IDF given Paper-wise Abstract,TF-IDF given Paper-wise Full Text,TF-IDF given the whole Title,TF-IDF given the whole Abstract
Identification and Estimation of Causal Effects from Dependent Data,"Eli Sherman, Ilya Shpitser","The assumption that data samples are independent and identically distributed (iid) is standard in many areas of statistics and machine learning. Nevertheless, in some settings, such as social networks, infectious disease modeling, and reasoning with spatial and temporal data, this assumption is false. An extensive literature exists on making causal inferences under the iid assumption [12, 8, 21, 16], but, as pointed out in [14], causal inference in non-iid contexts is challenging due to the combination of unobserved confounding bias and data dependence. In this paper we develop a general theory describing when causal inferences are possible in such scenarios. We use segregated graphs [15], a generalization of latent projection mixed graphs [23], to represent causal models of this type and provide a complete algorithm for non-parametric identification in these models. We then demonstrate how statistical inferences may be performed on causal parameters identified by this algorithm, even in cases where parts of the model exhibit full interference, meaning only a single sample is available for parts of the model [19]. We apply these techniques to a synthetic data set which considers the adoption of fake news articles given the social network structure, articles read by each person, and baseline demographics and socioeconomic covariates.",https://proceedings.neurips.cc/paper_files/paper/2018/file/024677efb8e4aee2eaeef17b54695bbe-Paper.pdf,2018,"causal, data, assumption, iid, inferences, algorithm, articles, graphs, model, models","causal, set, pag, models, variables, factorization, data, graph, network, cg","{'identification': 0.4902336088462939, 'effects': 0.46955176539056037, 'dependent': 0.44040234422160435, 'causal': 0.36553085215400843, 'estimation': 0.35384715205472694, 'data': 0.2939682171367947}","causal, iid, inferences, articles, assumption, parts, social, graphs, data, demographics"
Streamlining Variational Inference for Constraint Satisfaction Problems,"Aditya Grover, Tudor Achim, Stefano Ermon","Several algorithms for solving constraint satisfaction problems are based on survey propagation, a variational inference scheme used to obtain approximate marginal probability estimates for variable assignments. These marginals correspond to how frequently each variable is set to true among satisfying assignments, and are used to inform branching decisions during search; however, marginal estimates obtained via survey propagation are approximate and can be self-contradictory. We introduce a more general branching strategy based on streamlining constraints, which sidestep hard assignments to variables. We show that streamlined solvers consistently outperform decimation-based solvers on random k-SAT instances for several problem sizes, shrinking the gap between empirical performance and theoretical limits of satisfiability by 16.3% on average for k = 3, 4, 5, 6.",https://proceedings.neurips.cc/paper_files/paper/2018/file/02ed812220b0705fabb868ddbf17ea20-Paper.pdf,2018,"assignments, based, approximate, branching, estimates, marginal, propagation, several, solvers, survey","survey, variable, variables, streamlining, propagation, constraints, decimation, µi, algorithm, constraint","{'satisfaction': 0.4885519733636105, 'streamlining': 0.4885519733636105, 'constraint': 0.42658892750908256, 'problems': 0.40383540190712414, 'inference': 0.2989781385681982, 'variational': 0.2969593682585239}","assignments, branching, survey, solvers, marginal, propagation, estimates, variable, contradictory, decimation"
A Spectral View of Adversarially Robust Features,"Shivam Garg, Vatsal Sharan, Brian Zhang, Gregory Valiant","Given the apparent difficulty of learning models that are robust to adversarial perturbations, we propose tackling the simpler problem of developing adversarially robust features.  Specifically, given a dataset and metric of interest, the goal is to return a function (or multiple functions) that 1) is robust to adversarial perturbations, and 2) has significant variation across the datapoints.  We establish strong connections between adversarially robust features and a natural spectral property of the geometry of the dataset and metric of interest.  This connection can be leveraged to provide both robust features, and a lower bound on the robustness of any function that has significant variance across the dataset.  Finally, we provide empirical evidence that the adversarially robust features given by this spectral approach can be fruitfully leveraged to learn a robust (and accurate) model.",https://proceedings.neurips.cc/paper_files/paper/2018/file/033cc385728c51d97360020ed57776f0-Paper.pdf,2018,"robust, features, adversarially, dataset, given, across, adversarial, function, interest, leveraged","robust, adversarial, features, dataset, points, robustness, graph, spectral, fx, models","{'adversarially': 0.5017368510902057, 'view': 0.4872356523174668, 'spectral': 0.44660642536977, 'features': 0.4198446377317542, 'robust': 0.36760676320653507}","robust, adversarially, features, leveraged, spectral, dataset, perturbations, given, metric, interest"
Dimensionality Reduction has Quantifiable Imperfections: Two Geometric Bounds,"Kry Lui, Gavin Weiguang Ding, Ruitong Huang, Robert McCann","In this paper, we investigate Dimensionality reduction (DR) maps in an information retrieval setting from a quantitative topology point of view. In particular, we show that no DR maps can achieve perfect precision and perfect recall simultaneously. Thus a continuous DR map must have imperfect precision. We further prove an upper bound on the precision of Lipschitz continuous DR maps. While precision is a natural measure in an information retrieval setting, it does not measure `how' wrong the retrieved data is. We therefore propose a new measure based on Wasserstein distance that comes with similar theoretical guarantee. A key technical step in our proofs is a particular optimization problem of the $L_2$-Wasserstein distance over a constrained set of distributions. We provide a complete solution to this optimization problem, which can be of independent interest on the technical side.",https://proceedings.neurips.cc/paper_files/paper/2018/file/037a595e6f4f0576a9efe43154d71c18-Paper.pdf,2018,"dr, precision, maps, measure, continuous, distance, information, optimization, particular, perfect","precision, recall, dr, ru, bound, continuous, measure, rv, map, perfect","{'imperfections': 0.4317698724370161, 'quantifiable': 0.4317698724370161, 'geometric': 0.39034449361833257, 'dimensionality': 0.37700850033524647, 'two': 0.37700850033524647, 'reduction': 0.32988698595631805, 'bounds': 0.28580498361625284}","dr, precision, maps, measure, technical, perfect, retrieval, wasserstein, distance, continuous"
Learning SMaLL Predictors,"Vikas Garg, Ofer Dekel, Lin Xiao","We introduce a new framework for learning in severely resource-constrained settings. Our technique delicately amalgamates the representational richness of multiple linear predictors with the sparsity of Boolean relaxations, and thereby yields classifiers that are compact, interpretable, and accurate. We provide a rigorous formalism of the learning problem, and establish fast convergence of the ensuing algorithm via relaxation to a minimax saddle point objective. We supplement the theoretical foundations of our work with an extensive empirical evaluation.",https://proceedings.neurips.cc/paper_files/paper/2018/file/03b2ceb73723f8b53cd533e4fba898ee-Paper.pdf,2018,"learning, accurate, algorithm, amalgamates, boolean, classifiers, compact, constrained, convergence, delicately","xi, 04, small, 03, 05, si, algorithm, set, problem, i2œm","{'predictors': 0.7004735082324355, 'small': 0.670922120525164, 'learning': 0.24331126660013458}","amalgamates, delicately, ensuing, richness, supplement, formalism, foundations, boolean, predictors, relaxations"
ResNet with one-neuron hidden layers is a Universal Approximator,"Hongzhou Lin, Stefanie Jegelka","We demonstrate that a very deep ResNet with stacked modules that have one neuron per hidden layer and ReLU activation functions can uniformly approximate any Lebesgue integrable function in d dimensions, i.e. \ell_1(R^d). Due to the identity mapping inherent to ResNets, our network has alternating layers of dimension one and d. This stands in sharp contrast to fully connected networks, which are not universal approximators if their width is the input dimension d [21,11]. Hence, our result implies an increase in representational power for narrow deep networks by the ResNet architecture.",https://proceedings.neurips.cc/paper_files/paper/2018/file/03bfc1d4783966c69cc6aef8247e0103-Paper.pdf,2018,"deep, dimension, networks, one, resnet, 11, 21, activation, alternating, approximate","function, resnet, one, approximation, networks, hidden, universal, connected, fully, layer","{'approximator': 0.4130948628572401, 'resnet': 0.4130948628572401, 'universal': 0.3899106703744702, 'neuron': 0.3734612240270793, 'hidden': 0.3607020421850319, 'layers': 0.3607020421850319, 'one': 0.3270928390615394}","resnet, dimension, integrable, lebesgue, stands, 21, 11, approximators, ell_1, stacked"
How Many Samples are Needed to Estimate a Convolutional Neural Network?,"Simon S. Du, Yining Wang, Xiyu Zhai, Sivaraman Balakrishnan, Russ R. Salakhutdinov, Aarti Singh","A widespread folklore for explaining the success of Convolutional Neural Networks (CNNs) is that CNNs use a more compact representation than the Fully-connected Neural Network (FNN) and thus require fewer training samples to accurately estimate their parameters. We initiate the study of rigorously characterizing the sample complexity of estimating CNNs. We show that for an $m$-dimensional convolutional filter with linear activation acting on a $d$-dimensional input, the sample complexity of achieving population prediction error of $\epsilon$ is $\widetilde{O(m/\epsilon^2)$, whereas the sample-complexity for its FNN counterpart is lower bounded by $\Omega(d/\epsilon^2)$ samples. Since, in typical settings $m \ll d$, this result demonstrates the advantage of using a CNN. We further consider the sample complexity of estimating a one-hidden-layer CNN with linear activation where both the $m$-dimensional convolutional filter and the $r$-dimensional output weights are unknown. For this model, we show that the sample complexity is $\widetilde{O}\left((m+r)/\epsilon^2\right)$ when the ratio between the stride size and the filter size is a constant. For both models, we also present lower bounds showing our sample complexities are tight up to logarithmic factors. Our main tools for deriving these results are a localized empirical process analysis and a new lemma characterizing the convolutional structure. We believe that these tools may inspire further developments in understanding CNNs.",https://proceedings.neurips.cc/paper_files/paper/2018/file/03c6b06952c750899bb03d998e631860-Paper.pdf,2018,"sample, complexity, cnns, convolutional, dimensional, epsilon, filter, activation, characterizing, cnn","error, size, ﬁlter, convolutional, wn, 10, cnn, linear, sample, al","{'estimate': 0.47263529680127964, 'many': 0.4461095065278267, 'needed': 0.4461095065278267, 'samples': 0.3906787311187111, 'convolutional': 0.31576343327465045, 'network': 0.28538825933788825, 'neural': 0.21167337404296668}","sample, cnns, epsilon, filter, complexity, convolutional, fnn, dimensional, characterizing, widetilde"
Objective and efficient inference for couplings in neuronal networks,"Yu Terada, Tomoyuki Obuchi, Takuya Isomura, Yoshiyuki Kabashima","Inferring directional couplings from the spike data of networks is desired in various scientific fields such as neuroscience. Here, we apply a recently proposed objective procedure to the spike data obtained from the Hodgkin-Huxley type models and in vitro neuronal networks cultured in a circular structure. As a result, we succeed in reconstructing synaptic connections accurately from the evoked activity as well as the spontaneous one. To obtain the results, we invent an analytic formula approximately implementing a method of screening relevant couplings. This significantly reduces the computational cost of the screening method employed in the proposed objective procedure, making it possible to treat large-size systems as in this study.",https://proceedings.neurips.cc/paper_files/paper/2018/file/03cf87174debaccd689c90c34577b82f-Paper.pdf,2018,"couplings, data, method, networks, objective, procedure, proposed, screening, spike, accurately","10, ms, time, couplings, 100, data, δτ, fig, spike, neurons","{'couplings': 0.5142852064917833, 'neuronal': 0.4925886807123818, 'objective': 0.47575954787023217, 'inference': 0.33343974692184464, 'efficient': 0.3100483539851833, 'networks': 0.2433267843699616}","couplings, screening, spike, procedure, cultured, hodgkin, huxley, invent, spontaneous, vitro"
Unsupervised Adversarial Invariance,"Ayush Jaiswal, Rex Yue Wu, Wael Abd-Almageed, Prem Natarajan","Data representations that contain all the information about target variables but are invariant to nuisance factors benefit supervised learning algorithms by preventing them from learning associations between these factors and the targets, thus reducing overfitting. We present a novel unsupervised invariance induction framework for neural networks that learns a split representation of data through competitive training between the prediction task and a reconstruction task coupled with disentanglement, without needing any labeled information about nuisance factors or domain knowledge. We describe an adversarial instantiation of this framework and provide analysis of its working. Our unsupervised model outperforms state-of-the-art methods, which are supervised, at inducing invariance to inherent nuisance factors, effectively using synthetic data augmentation to learn invariance, and domain adaptation. Our method can be applied to any prediction task, eg., binary/multi-class classification or regression, without loss of generality.",https://proceedings.neurips.cc/paper_files/paper/2018/file/03e7ef47cee6fa4ae7567394b99912b7-Paper.pdf,2018,"factors, data, invariance, nuisance, task, domain, framework, information, learning, prediction","e1, model, e2, information, data, invariance, factors, nuisance, learning, framework","{'invariance': 0.7210065884097391, 'unsupervised': 0.5315575925807978, 'adversarial': 0.4445177445720877}","nuisance, factors, invariance, task, unsupervised, supervised, domain, instantiation, prediction, inducing"
Critical initialisation for deep signal propagation in noisy rectifier neural networks,"Arnu Pretorius, Elan van Biljon, Steve Kroon, Herman Kamper","Stochastic regularisation is an important weapon in the arsenal of a deep learning practitioner. However, despite recent theoretical advances, our understanding of how noise influences signal propagation in deep neural networks remains limited. By extending recent work based on mean field theory, we develop a new framework for signal propagation in stochastic regularised neural networks. Our \textit{noisy signal propagation} theory can incorporate several common noise distributions, including additive and multiplicative Gaussian noise as well as dropout. We use this framework to investigate initialisation strategies for noisy ReLU networks. We show that no critical initialisation strategy exists using additive noise, with signal propagation exploding regardless of the selected noise distribution. For multiplicative noise (e.g.\ dropout), we identify alternative critical initialisation strategies that depend on the second moment of the noise distribution.  Simulations and experiments on real-world data confirm that our proposed initialisation is able to stably propagate signals in deep networks, while using an initialisation disregarding noise fails to do so. Furthermore, we analyse correlation dynamics between inputs. Stronger noise regularisation is shown to reduce the depth to which discriminatory information about the inputs to a noisy ReLU network is able to propagate, even when initialised at criticality. We support our theoretical predictions for these trainable depths with simulations, as well as with experiments on MNIST and CIFAR-10.",https://proceedings.neurips.cc/paper_files/paper/2018/file/045cf83ab0722e782cf72d14e44adf98-Paper.pdf,2018,"noise, initialisation, networks, propagation, signal, deep, noisy, able, additive, critical","noise, σ2, networks, network, initialisation, 10, relu, µ2, signal, critical","{'critical': 0.40942669518039804, 'initialisation': 0.40942669518039804, 'rectifier': 0.40942669518039804, 'signal': 0.40942669518039804, 'propagation': 0.3471666687667043, 'noisy': 0.3241883454755548, 'deep': 0.19183910321382736, 'neural': 0.1833649128167726, 'networks': 0.18284259097839764}","initialisation, noise, propagation, signal, regularisation, noisy, propagate, dropout, multiplicative, additive"
Learning sparse neural networks via sensitivity-driven regularization,"Enzo Tartaglione, Skjalg Lepsøy, Attilio Fiandrotti, Gianluca Francini","The ever-increasing number of parameters in deep neural networks poses challenges for memory-limited applications. Regularize-and-prune methods aim at meeting these challenges by sparsifying the network weights. In this context we quantify the output sensitivity to the parameters (i.e. their relevance to the network output) and introduce a regularization term that gradually lowers the absolute value of parameters with low sensitivity.  Thus, a very large fraction of the parameters approach zero and are eventually set to zero by simple thresholding. Our method surpasses most of the recent techniques both in terms of sparsity and error rates. In some cases, the method reaches twice the sparsity obtained by other techniques at equal error rates.",https://proceedings.neurips.cc/paper_files/paper/2018/file/04df4d434d481c5bb723be1b6df1ee65-Paper.pdf,2018,"parameters, challenges, error, method, network, output, rates, sensitivity, sparsity, techniques","network, sensitivity, wn, regularization, parameters, output, method, parameter, term, error","{'sensitivity': 0.5372959645042737, 'driven': 0.4555913240013682, 'regularization': 0.3826462984098456, 'sparse': 0.3624223789312582, 'via': 0.2819076961150809, 'neural': 0.24063215429741422, 'networks': 0.23994670457165154, 'learning': 0.1761567987323529}","parameters, sensitivity, challenges, sparsity, zero, rates, eventually, lowers, output, techniques"
